,training,target,algs,NB,trainsize,targetsize
133,2,0,"('tdea', 'sha256hmac')",0.5025634765625,8192,32768
134,2,0,"('tdea', 'sha256hmac')",0.5024337768554688,8192,65536
135,2,0,"('aes256', 'sha256')",0.496795654296875,8192,16384
136,2,0,"('aes256', 'sha256')",0.4987945556640625,8192,32768
137,2,0,"('aes256', 'sha256')",0.5004653930664062,8192,65536
138,2,0,"('aes256', 'sha256hmac')",0.502655029296875,8192,16384
139,2,0,"('aes256', 'sha256hmac')",0.5038909912109375,8192,32768
140,2,0,"('aes256', 'sha256hmac')",0.501708984375,8192,65536
141,2,0,"('sha256', 'sha256hmac')",0.494140625,8192,16384
142,2,0,"('sha256', 'sha256hmac')",0.494903564453125,8192,32768
143,2,0,"('sha256', 'sha256hmac')",0.49875640869140625,8192,65536
144,2,0,"('tdea', 'aes256')",0.498931884765625,16384,16384
145,2,0,"('tdea', 'aes256')",0.499908447265625,16384,32768
146,2,0,"('tdea', 'aes256')",0.498748779296875,16384,65536
147,2,0,"('tdea', 'sha256')",0.496124267578125,16384,16384
148,2,0,"('tdea', 'sha256')",0.4974212646484375,16384,32768
149,2,0,"('tdea', 'sha256')",0.5010833740234375,16384,65536
150,2,0,"('tdea', 'sha256hmac')",0.50225830078125,16384,16384
151,2,0,"('tdea', 'sha256hmac')",0.5025634765625,16384,32768
152,2,0,"('tdea', 'sha256hmac')",0.5024337768554688,16384,65536
153,2,0,"('aes256', 'sha256')",0.496795654296875,16384,16384
154,2,0,"('aes256', 'sha256')",0.4987945556640625,16384,32768
155,2,0,"('aes256', 'sha256')",0.5004653930664062,16384,65536
156,2,0,"('aes256', 'sha256hmac')",0.502655029296875,16384,16384
157,2,0,"('aes256', 'sha256hmac')",0.5038909912109375,16384,32768
158,2,0,"('aes256', 'sha256hmac')",0.501708984375,16384,65536
159,2,0,"('sha256', 'sha256hmac')",0.505859375,16384,16384
160,2,0,"('sha256', 'sha256hmac')",0.505096435546875,16384,32768
161,2,0,"('sha256', 'sha256hmac')",0.5012435913085938,16384,65536
162,3,0,"('tdea', 'aes256')",0.500396728515625,4096,16384
163,3,0,"('tdea', 'aes256')",0.5013275146484375,4096,32768
164,3,0,"('tdea', 'aes256')",0.49927520751953125,4096,65536
165,3,0,"('tdea', 'sha256')",0.50360107421875,4096,16384
166,3,0,"('tdea', 'sha256')",0.502532958984375,4096,32768
167,3,0,"('tdea', 'sha256')",0.498809814453125,4096,65536
168,3,0,"('tdea', 'sha256hmac')",0.49774169921875,4096,16384
169,3,0,"('tdea', 'sha256hmac')",0.4974365234375,4096,32768
170,3,0,"('tdea', 'sha256hmac')",0.49756622314453125,4096,65536
171,3,0,"('aes256', 'sha256')",0.496795654296875,4096,16384
172,3,0,"('aes256', 'sha256')",0.4987945556640625,4096,32768
