,training,target,algs,NB,trainsize,targetsize
139,34,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
140,35,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
141,35,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
142,35,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
143,35,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
144,36,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
145,36,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
146,36,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
147,36,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
148,37,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
149,37,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
150,37,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
151,37,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
152,38,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
153,38,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
154,38,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
155,38,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
156,39,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
157,39,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
158,39,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
159,39,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
160,40,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
161,40,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
162,40,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
163,40,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
164,41,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
165,41,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
166,41,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
167,41,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
168,42,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
169,42,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
170,42,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
171,42,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
172,43,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
173,43,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
174,43,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
175,43,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
176,44,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
177,44,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
178,44,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
179,44,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
180,45,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
181,45,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
182,45,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
183,45,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
184,46,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
185,46,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
186,46,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
187,46,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
188,47,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
189,47,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
190,47,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
191,47,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
192,48,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
193,48,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
194,48,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
195,48,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
196,49,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
197,49,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
198,49,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
199,49,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
200,50,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
201,50,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
202,50,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
203,50,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
204,51,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
205,51,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
206,51,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
207,51,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
208,52,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
209,52,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
210,52,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
211,52,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
212,53,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
213,53,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
214,53,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
215,53,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
216,54,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
217,54,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
218,54,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
219,54,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
220,55,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
221,55,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
222,55,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
223,55,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
224,56,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
225,56,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
226,56,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
227,56,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
228,57,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
229,57,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
230,57,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
231,57,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
232,58,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
233,58,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
234,58,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
235,58,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
236,59,0,"('tdea', 'aes256')",0.49837493896484375,8192,65536
237,59,1,"('tdea', 'aes256')",0.49880218505859375,8192,65536
238,59,2,"('tdea', 'aes256')",0.5015487670898438,8192,65536
239,59,3,"('tdea', 'aes256')",0.498565673828125,8192,65536
240,60,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
241,60,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
242,60,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
243,60,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
244,61,0,"('tdea', 'aes256')",0.5016250610351562,8192,65536
245,61,1,"('tdea', 'aes256')",0.5011978149414062,8192,65536
246,61,2,"('tdea', 'aes256')",0.49845123291015625,8192,65536
247,61,3,"('tdea', 'aes256')",0.501434326171875,8192,65536
